"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"271","Rashod Bateman (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.4%"
"272","Rondale Moore (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.3%"
"273","Amon-Ra St. Brown (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.6%"
"274","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"275","Tylan Wallace (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"276","Darnell Mooney (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.1%"
"277","John Hightower (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"278","DeVonta Smith (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.3%"
"279","Aaron Fuller (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"280","Donovan Peoples-Jones (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"281","Michael Pittman Jr. (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.1%"
"282","Devin Duvernay (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"283","KJ Hamler (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1%"
"284","Brandon Aiyuk (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.6%"
"285","Justin Jefferson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.7%"
"286","Laviska Shenault Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84.1%"
"287","Jalen Reagor (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56.5%"
"288","Tee Higgins (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.0%"
"289","Malcolm Perry (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"290","Henry Ruggs III (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.0%"
"291","CeeDee Lamb (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.5%"
"292","Jerry Jeudy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.8%"
"293","Reggie Begelton (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"294","Isaiah Hodgins (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"295","Darvin Kidsy (SEA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"296","J.J. Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"297","Derrick Willies (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"298","Jeff Badet (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"299","Dylan Cantrell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"300","Austin Proehl (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"301","Daurice Fountain (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"302","Brandon Powell (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"303","Devin Ross (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"304","Rico Gafford (ARI)","2","2","66","33.0","49","1","1","0","0","0","0","4","0.0","0.0","0.0%"
"305","Jordan Veasy (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"306","Cameron Batson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"307","Keith Kirkwood (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"308","Devin Gray (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"309","Equanimeous St. Brown (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"310","Lance Lenoir Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"311","Victor Bolden Jr. (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"312","Deante Burton (DAL)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"313","Reggie Davis (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"314","J'Mon Moore (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"315","Jester Weah (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"316","River Cracraft (SF)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"317","De'Quan Hampton (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"318","Saeed Blacknall (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0",""
"319","Trinity Benson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"320","Travis Fulgham (PHI)","0","3","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.8%"
"321","David Sills V (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"322","Gary Jennings Jr. (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"323","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"324","Jon'Vea Johnson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"325","Davion Davis (CLE)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"326","DeAndre Thompkins (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"327","Lil'Jordan Humphrey (NO)","0","1","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.1%"
"328","Johnnie Dixon (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"329","Demetric Felton (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"330","Josh Pearson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"331","Trenton Irwin (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"332","Tyron Johnson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"333","Penny Hart (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"334","Stephen Carlson (CLE)","5","7","51","10.2","21","1","1","0","0","0","0","9","0.0","0.0","0.0%"
"335","Antoine Wesley (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"336","Quinton Bell (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"337","Juwann Winfree (GB)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"338","Bryan Edwards (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"339","Tyler Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"340","Chase Claypool (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.1%"
"341","Terry Godwin (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"342","Cam Phillips (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"343","Janarion Grant (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"344","Caleb Scott (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"345","De'Mornay Pierson-El (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"346","Hakeem Butler (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"347","A.J. Richardson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"348","Jalen Hurd (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
