"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"140","Devin Asiasi (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"141","Josiah Deguara (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"142","Luke Farrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Cheyenne O'Grady (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"144","Mitchell Wilcox (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"145","Noah Gray (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"146","Dalton Keene (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Chris Myarick (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Matt Sokol (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Justin Johnson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"150","Ian Bunting (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"151","Parker Hesse (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"152","Brandon Dillon (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","Carl Tucker (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"154","John Raine (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"155","De'Quan Hampton (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"156","Zach Davidson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Hunter Kampmoyer (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"158","Shaun Beyer (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"159","Nick Ralston (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"160","Dylan Soehner (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"161","Artayvious Lynn (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"162","Brock Wright (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"163","Briley Moore-McKinney (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"164","Scooter Harrington (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
